@relation 'Pacman-data-training-weka.filters.unsupervised.attribute.Remove-R7,9-12,21,23-24,29,31,33-weka.filters.unsupervised.attribute.Remove-R16-weka.filters.unsupervised.instance.Randomize-S1-weka.filters.MultiFilter-Fweka.filters.unsupervised.instance.Randomize -S 1'

@attribute pacman_position_x numeric
@attribute pacman_position_y numeric
@attribute is_North_Valid {True,False}
@attribute is_South_Valid {True,False}
@attribute is_East_Valid {True,False}
@attribute is_West_Valid {True,False}
@attribute pacman_direction {North,South,East,West,Stop}
@attribute ghost_1_position_x numeric
@attribute ghost_1_position_y numeric
@attribute ghost_2_position_x numeric
@attribute ghost_2_position_y numeric
@attribute ghost_3_position_x numeric
@attribute ghost_3_position_y numeric
@attribute ghost_4_position_x numeric
@attribute ghost_4_position_y numeric
@attribute ghost_1_distance numeric
@attribute ghost_2_distance numeric
@attribute ghost_3_distance numeric
@attribute ghost_4_distance numeric
@attribute score numeric
@attribute next_action {North,South,East,West,Stop}

@data
7,3,False,False,True,True,East,1,1,8,3,14,7,23,4,-1,1,11,17,156,East
10,18,False,False,True,True,East,5,7,10,4,18,5,22,8,16,14,21,23,-10,East
12,12,True,True,True,True,West,5,6,5,12,13,6,7,1,13,7,7,-1,194,West
3,18,False,False,True,True,East,4,9,10,3,17,6,23,7,10,22,26,31,-3,East
1,16,True,True,True,False,South,5,9,11,3,17,6,25,7,11,23,26,33,-5,South
19,13,True,True,False,True,North,10,15,13,15,14,15,17,15,11,8,7,4,-20,North
20,7,True,True,True,True,South,1,1,3,1,23,11,17,7,-1,-1,7,3,3154,West
19,8,False,False,True,True,East,13,15,13,15,15,17,16,15,13,13,13,10,-11,East
18,7,True,True,True,True,West,1,1,3,1,22,11,17,7,-1,-1,8,2,3152,West
19,17,False,True,False,True,North,10,15,13,15,14,15,17,15,11,8,7,4,-24,West
13,12,True,True,True,True,North,5,6,5,12,13,6,7,1,14,8,6,-1,195,West
16,8,True,True,True,True,North,1,1,3,1,19,12,7,1,-1,-1,7,-1,3943,North
9,6,True,True,True,True,East,1,1,9,5,13,6,24,3,-1,1,4,17,175,South
4,12,False,True,True,True,Stop,9,3,11,7,19,12,22,9,14,12,15,21,0,Stop
6,9,True,True,True,True,South,5,6,3,1,13,6,7,1,4,-1,10,-1,383,West
11,11,True,True,False,True,East,1,1,3,1,14,8,21,4,-1,-1,6,18,344,North
14,16,True,True,False,True,South,11,15,3,1,5,1,15,15,4,-1,-1,3,370,South
8,12,True,True,True,True,West,5,6,5,12,13,6,7,1,9,3,11,-1,190,West
10,8,True,True,True,True,West,1,1,3,1,23,11,19,9,-1,-1,16,9,2369,West
1,14,True,True,True,False,South,6,8,10,5,15,6,25,9,11,18,22,28,-5,South
13,15,True,False,True,True,West,12,17,3,1,5,1,7,1,3,-1,-1,-1,562,North
12,12,False,False,True,True,East,1,1,3,1,13,9,22,3,-1,-1,4,18,342,East
10,11,True,True,True,True,North,1,1,3,1,14,5,25,5,-1,-1,10,22,365,North
9,6,True,True,True,True,East,1,1,11,3,17,6,25,7,-1,5,8,17,173,East
21,11,True,True,True,True,North,13,16,13,15,14,17,16,15,13,12,13,8,-16,North
3,5,True,True,True,True,East,1,1,10,4,14,8,25,4,-1,8,14,22,182,East
8,7,True,True,True,False,South,6,9,5,3,14,6,26,4,4,7,7,22,-31,South
19,12,False,True,True,True,East,1,1,3,1,5,1,22,9,-1,-1,-1,6,2959,East
19,5,True,True,True,True,East,1,1,3,1,5,1,20,4,-1,-1,-1,3,525,East
11,3,True,False,False,True,South,1,1,3,1,17,6,25,7,-1,-1,9,18,364,North
21,6,False,False,True,True,East,1,1,3,1,5,1,25,7,-1,-1,-1,5,539,East
1,6,True,True,True,False,South,3,5,11,6,14,8,25,6,3,10,15,25,-13,East
17,7,True,True,True,True,West,1,1,3,1,18,12,7,1,-1,-1,6,-1,3745,West
7,9,True,True,True,True,East,10,3,14,4,20,12,21,9,9,12,16,14,291,South
5,6,True,True,True,True,North,1,1,10,3,13,7,24,3,-1,8,9,21,179,East
10,11,True,True,True,True,South,6,9,6,3,17,6,26,4,6,12,12,23,-25,South
1,8,True,True,False,False,South,4,6,11,4,14,7,25,8,5,14,14,25,-11,South
19,15,True,True,True,False,North,10,15,13,15,14,15,17,15,9,6,5,2,-22,North
7,5,True,True,True,True,South,12,4,13,7,21,12,23,9,6,8,21,19,687,East
14,6,True,True,True,True,East,1,1,3,1,17,6,25,7,-1,-1,3,12,346,East
11,8,True,True,False,True,North,1,1,3,1,17,6,25,7,-1,-1,8,15,363,North
15,15,False,False,True,True,East,10,15,13,15,5,1,17,15,5,2,-1,2,168,East
12,7,True,True,True,True,East,1,1,3,1,23,11,20,11,-1,-1,15,11,2072,North
10,6,True,True,True,True,North,1,1,12,8,23,12,19,11,-1,4,19,15,1675,North
13,12,False,True,True,True,East,1,1,3,1,13,8,23,3,-1,-1,4,18,361,South
9,10,True,True,True,True,North,1,1,3,1,13,7,21,3,-1,-1,7,18,347,North
18,9,True,True,True,True,East,1,1,3,1,22,12,19,9,-1,-1,7,2,2758,East
7,6,False,False,True,True,East,1,1,10,4,13,5,23,4,-1,5,7,19,177,East
5,6,True,True,True,True,East,5,9,11,3,17,6,25,7,3,9,12,21,-17,North
11,5,True,True,False,True,North,1,1,3,1,17,6,25,7,-1,-1,7,16,366,North
15,6,False,False,True,True,East,1,1,3,1,5,1,19,4,-1,-1,-1,5,530,East
1,11,True,True,False,False,South,5,9,11,3,17,6,25,7,6,18,21,28,-10,South
5,9,True,True,True,True,South,10,3,13,5,20,11,22,9,11,12,17,17,193,East
17,4,True,True,True,True,East,1,1,3,1,5,1,23,3,-1,-1,-1,6,547,East
11,18,False,False,True,True,East,5,6,9,4,17,5,23,8,18,16,19,21,-11,East
12,5,True,True,True,True,East,12,3,13,7,22,10,22,10,2,3,15,16,982,South
13,12,False,True,True,True,East,1,1,3,1,17,6,25,7,-1,-1,10,17,357,South
6,11,True,True,True,True,South,5,6,3,1,13,6,7,1,6,-1,12,-1,385,South
