@relation 'Pacman-data-training-weka.filters.unsupervised.attribute.Remove-R7,9-12,21-24,29,31,33-weka.filters.unsupervised.instance.Randomize-S1-weka.filters.MultiFilter-Fweka.filters.unsupervised.instance.Randomize -S 1'

@attribute pacman_position_x numeric
@attribute pacman_position_y numeric
@attribute is_North_Valid {True,False}
@attribute is_South_Valid {True,False}
@attribute is_East_Valid {True,False}
@attribute is_West_Valid {True,False}
@attribute pacman_direction {North,South,East,West,Stop}
@attribute ghost_1_position_x numeric
@attribute ghost_1_position_y numeric
@attribute ghost_2_position_x numeric
@attribute ghost_2_position_y numeric
@attribute ghost_3_position_x numeric
@attribute ghost_3_position_y numeric
@attribute ghost_4_position_x numeric
@attribute ghost_4_position_y numeric
@attribute ghost_1_distance numeric
@attribute ghost_2_distance numeric
@attribute ghost_3_distance numeric
@attribute ghost_4_distance numeric
@attribute score numeric
@attribute next_action {North,South,East,West,Stop}

@data
16,12,False,True,True,True,East,1,1,3,1,28,4,24,5,-1,-1,20,15,357,East
11,9,True,True,False,True,North,1,1,3,1,27,5,27,4,-1,-1,20,20,365,North
13,12,False,True,True,True,East,1,1,3,1,27,2,24,4,-1,-1,24,18,360,East
18,8,False,True,True,True,North,12,15,13,15,16,15,16,15,13,12,9,8,-9,East
14,12,True,True,True,True,East,1,1,3,1,28,2,24,5,-1,-1,24,18,359,East
12,17,True,False,True,True,South,1,1,3,1,5,1,14,15,-1,-1,-1,5,510,East
13,6,True,True,True,True,East,1,1,3,1,19,12,22,9,-1,-1,12,12,1573,North
11,5,True,True,False,True,North,1,1,3,1,27,3,27,3,-1,-1,18,19,369,North
1,15,True,True,True,False,South,5,7,11,3,19,6,24,7,12,22,27,32,-3,South
15,13,False,False,True,True,East,14,16,16,15,13,17,14,15,4,3,6,4,-35,East
3,11,False,False,True,True,East,6,5,6,9,8,11,14,5,9,5,5,16,-2,East
26,5,True,True,True,True,East,1,1,3,1,27,5,7,1,-1,-1,1,-1,540,East
14,8,True,True,True,True,West,1,1,3,1,17,6,25,7,-1,-1,5,12,335,North
6,11,False,True,True,True,North,1,1,3,1,8,11,14,6,-1,-1,2,13,369,East
9,4,True,True,True,True,South,1,1,11,3,17,6,25,7,-1,3,10,19,166,East
11,13,False,False,True,True,West,12,15,16,15,12,19,17,15,3,7,7,8,-49,West
12,11,True,True,True,True,North,4,6,4,12,13,7,13,12,13,9,5,1,-1,North
14,5,True,True,True,True,South,10,3,3,1,5,1,7,1,6,-1,-1,-1,560,West
8,17,False,True,True,False,North,10,15,13,15,14,15,17,15,4,7,8,11,-39,East
12,15,False,False,True,True,West,10,15,3,1,5,1,7,1,2,-1,-1,-1,545,West
21,13,True,True,False,False,North,10,15,13,15,14,15,17,15,13,10,9,6,-17,North
18,13,False,False,True,True,East,13,15,17,15,12,17,12,15,7,3,10,8,-38,East
1,16,True,True,True,False,South,5,9,11,3,17,6,25,7,11,23,26,33,-2,South
11,4,True,True,True,True,East,1,1,3,1,19,12,22,9,-1,-1,16,16,1477,North
12,6,True,True,True,True,West,5,6,5,12,5,1,7,1,7,13,-1,-1,390,West
22,8,True,True,True,True,East,1,1,3,1,5,1,23,7,-1,-1,-1,1,1974,South
14,17,False,True,True,True,West,12,19,12,19,5,1,16,15,4,4,-1,5,114,West
1,8,True,True,False,False,South,5,6,11,4,20,6,26,4,6,14,21,29,-10,South
14,7,True,True,True,True,East,9,3,3,1,5,1,7,1,9,-1,-1,-1,570,North
17,5,False,False,True,True,East,10,15,13,15,14,15,17,15,17,14,13,10,-5,East
15,8,False,False,True,True,West,1,1,3,1,17,6,25,7,-1,-1,4,11,311,West
1,10,True,True,False,False,South,5,6,11,4,21,6,26,5,8,16,24,31,-8,South
13,10,True,True,True,False,North,1,1,3,1,17,6,25,7,-1,-1,8,15,325,East
