@relation 'Pacman-data-training-weka.filters.unsupervised.attribute.Remove-R31,33'

@attribute pacman_position_x numeric
@attribute pacman_position_y numeric
@attribute is_North_Valid {True,False}
@attribute is_South_Valid {True,False}
@attribute is_East_Valid {True,False}
@attribute is_West_Valid {True,False}
@attribute is_Stop_Valid {True,False}
@attribute pacman_direction {North,South,East,West,Stop}
@attribute alive_ghost_1 {True,False}
@attribute alive_ghost_2 {True,False}
@attribute alive_ghost_3 {True,False}
@attribute alive_ghost_4 {True,False}
@attribute ghost_1_position_x numeric
@attribute ghost_1_position_y numeric
@attribute ghost_2_position_x numeric
@attribute ghost_2_position_y numeric
@attribute ghost_3_position_x numeric
@attribute ghost_3_position_y numeric
@attribute ghost_4_position_x numeric
@attribute ghost_4_position_y numeric
@attribute ghost_1_direction {North,South,East,West,Stop}
@attribute ghost_2_direction {North,South,East,West,Stop}
@attribute ghost_3_direction {North,South,East,West,Stop}
@attribute ghost_4_direction {North,South,East,West,Stop}
@attribute ghost_1_distance numeric
@attribute ghost_2_distance numeric
@attribute ghost_3_distance numeric
@attribute ghost_4_distance numeric
@attribute pac_dots_distance numeric
@attribute score numeric
@attribute next_action {North,South,East,West,Stop}

@data
9,8,True,True,True,True,True,North,False,False,True,True,1,1,3,1,13,8,22,4,Stop,Stop,South,West,-1,-1,4,16,-1,349,North
9,9,True,True,True,True,True,North,False,False,True,True,1,1,3,1,13,7,21,4,Stop,Stop,South,South,-1,-1,6,18,-1,348,North
9,10,True,True,True,True,True,North,False,False,True,True,1,1,3,1,13,7,21,3,Stop,Stop,South,West,-1,-1,7,18,-1,347,North
9,11,True,True,True,True,True,North,False,False,True,True,1,1,3,1,13,7,20,3,Stop,Stop,South,East,-1,-1,8,20,-1,346,East
10,11,True,True,True,True,True,East,False,False,True,True,1,1,3,1,14,7,21,3,Stop,Stop,East,North,-1,-1,8,18,-1,345,East
11,11,True,True,False,True,True,East,False,False,True,True,1,1,3,1,14,8,21,4,Stop,Stop,North,South,-1,-1,6,18,-1,344,North
11,12,False,True,True,True,True,North,False,False,True,True,1,1,3,1,14,9,21,3,Stop,Stop,North,East,-1,-1,6,20,-1,343,East
12,12,False,False,True,True,True,East,False,False,True,True,1,1,3,1,13,9,22,3,Stop,Stop,West,North,-1,-1,4,18,-1,342,East
13,12,False,True,True,True,True,East,False,False,True,True,1,1,3,1,13,9,22,4,Stop,Stop,West,North,-1,-1,3,17,-1,341,South
13,11,True,True,True,False,True,South,False,False,True,True,1,1,3,1,13,9,22,4,Stop,Stop,West,West,-1,-1,2,15,-1,340,South
13,10,True,True,True,False,True,South,False,False,True,True,1,1,3,1,13,9,21,4,Stop,Stop,Stop,West,-1,-1,1,13,-1,339,South
13,9,True,True,True,False,True,South,False,False,False,True,1,1,3,1,5,1,20,4,Stop,Stop,Stop,West,-1,-1,-1,11,-1,538,South
13,8,True,True,True,False,True,South,False,False,False,True,1,1,3,1,5,1,19,4,Stop,Stop,Stop,West,-1,-1,-1,10,-1,537,South
13,7,True,True,True,False,True,South,False,False,False,True,1,1,3,1,5,1,19,4,Stop,Stop,Stop,West,-1,-1,-1,9,-1,536,South
13,6,True,True,True,False,True,South,False,False,False,True,1,1,3,1,5,1,19,4,Stop,Stop,Stop,East,-1,-1,-1,9,-1,535,South
13,5,True,True,True,False,True,South,False,False,False,True,1,1,3,1,5,1,20,4,Stop,Stop,Stop,North,-1,-1,-1,7,-1,534,East
14,5,True,True,False,True,True,East,False,False,False,True,1,1,3,1,5,1,20,5,Stop,Stop,Stop,South,-1,-1,-1,7,-1,533,Stop
14,5,True,True,False,True,True,East,False,False,False,True,1,1,3,1,5,1,20,4,Stop,Stop,Stop,West,-1,-1,-1,6,-1,532,North
14,6,True,True,True,True,True,North,False,False,False,True,1,1,3,1,5,1,19,4,Stop,Stop,Stop,West,-1,-1,-1,7,-1,531,East
15,6,False,False,True,True,True,East,False,False,False,True,1,1,3,1,5,1,19,4,Stop,Stop,Stop,West,-1,-1,-1,5,-1,530,East
16,6,False,False,True,True,True,East,False,False,False,True,1,1,3,1,5,1,18,4,Stop,Stop,Stop,North,-1,-1,-1,3,-1,529,East
17,6,False,True,True,True,True,East,False,False,False,True,1,1,3,1,5,1,18,5,Stop,Stop,Stop,East,-1,-1,-1,3,-1,528,East
18,6,False,True,True,True,True,East,False,False,False,True,1,1,3,1,5,1,19,5,Stop,Stop,Stop,East,-1,-1,-1,3,-1,527,South
18,5,True,True,True,True,True,South,False,False,False,True,1,1,3,1,5,1,20,5,Stop,Stop,Stop,South,-1,-1,-1,3,-1,526,East
19,5,True,True,True,True,True,East,False,False,False,True,1,1,3,1,5,1,20,4,Stop,Stop,Stop,South,-1,-1,-1,3,-1,525,East
20,5,True,True,False,True,True,East,False,False,False,True,1,1,3,1,5,1,20,3,Stop,Stop,Stop,West,-1,-1,-1,3,-1,524,South
