@relation 'Pacman-data-training-weka.filters.unsupervised.attribute.Remove-R31,33-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.Randomize-S5-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Center-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.RemoveUseless -M 99.0-Fweka.filters.unsupervised.instance.RemoveDuplicates-Fweka.filters.unsupervised.instance.Randomize -S 5-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-Fweka.filters.unsupervised.attribute.Center'

@attribute pacman_position_x numeric
@attribute pacman_position_y numeric
@attribute is_North_Valid {True,False}
@attribute is_South_Valid {True,False}
@attribute is_East_Valid {True,False}
@attribute is_West_Valid {True,False}
@attribute pacman_direction {North,South,East,West,Stop}
@attribute alive_ghost_1 {True,False}
@attribute alive_ghost_2 {True,False}
@attribute alive_ghost_3 {True,False}
@attribute alive_ghost_4 {True,False}
@attribute ghost_1_position_x numeric
@attribute ghost_1_position_y numeric
@attribute ghost_2_position_x numeric
@attribute ghost_2_position_y numeric
@attribute ghost_3_position_x numeric
@attribute ghost_3_position_y numeric
@attribute ghost_4_position_x numeric
@attribute ghost_4_position_y numeric
@attribute ghost_1_direction {North,South,East,West,Stop}
@attribute ghost_2_direction {North,South,East,West,Stop}
@attribute ghost_3_direction {North,South,East,West,Stop}
@attribute ghost_4_direction {North,South,East,West,Stop}
@attribute ghost_1_distance numeric
@attribute ghost_2_distance numeric
@attribute ghost_3_distance numeric
@attribute ghost_4_distance numeric
@attribute pac_dots_distance numeric
@attribute score numeric
@attribute next_action {North,South,East,West,Stop}

@data
-0.051032,0.194159,True,True,True,True,North,False,False,True,True,-0.273175,-0.257976,-0.346349,-0.257262,-0.00381,-0.074734,0.271619,-0.21551,Stop,Stop,North,South,-0.228658,-0.25326,0.034286,0.326931,-0.112941,364,East
-0.426032,0.194159,True,True,True,False,South,True,True,True,True,0.060159,0.242024,0.320317,-0.132262,0.162857,-0.074734,0.271619,-0.001224,Stop,Stop,Stop,Stop,0.134978,0.515971,0.448079,0.46582,-0.112941,-7,South
-0.259365,0.194159,True,True,True,True,West,True,False,True,False,0.060159,0.054524,-0.346349,-0.257262,-0.059365,-0.074734,-0.628381,-0.429796,Stop,Stop,Stop,Stop,0.089524,-0.25326,0.172217,-0.367513,0.887059,387,East
-0.009365,-0.405841,True,False,True,True,South,False,True,True,True,-0.273175,-0.257976,0.320317,0.180238,0.49619,0.219384,0.121619,0.355918,Stop,West,North,West,-0.228658,-0.022491,0.379113,0.188042,0.004706,1379,West
0.240635,-0.272508,False,False,True,True,East,True,True,True,True,0.643492,0.617024,0.403651,0.617738,-0.059365,0.454678,-0.178381,0.570204,West,East,East,East,0.498615,0.362125,0.172217,-0.061958,-0.112941,-6,East
0.490635,-0.205841,True,True,True,True,East,False,False,False,True,-0.273175,-0.257976,-0.346349,-0.257262,-0.50381,-0.368852,0.271619,-0.001224,Stop,Stop,Stop,Stop,-0.228658,-0.25326,-0.345025,-0.256402,-0.112941,537,East
-0.051032,-0.339175,True,True,True,True,South,True,False,True,True,0.393492,-0.132976,-0.346349,-0.257262,0.273968,0.278207,0.121619,0.141633,Stop,Stop,Stop,Stop,-0.092294,-0.25326,0.275665,0.132487,0.004706,1280,South
0.032302,0.194159,False,False,True,True,East,False,False,True,True,-0.273175,-0.257976,-0.346349,-0.257262,0.162857,-0.074734,0.271619,-0.001224,Stop,Stop,Stop,Stop,-0.228658,-0.25326,0.068768,0.160265,-0.112941,354,East
0.323968,0.460825,True,True,False,False,North,True,True,True,True,0.560159,0.617024,0.486984,0.742738,-0.059365,0.513501,-0.128381,0.570204,West,North,North,East,0.225887,0.054432,-0.103645,-0.256402,-0.112941,-23,North
0.073968,-0.205841,True,True,True,True,North,False,False,True,True,-0.273175,-0.257976,-0.346349,-0.257262,0.273968,0.278207,0.121619,0.141633,Stop,Stop,Stop,Stop,-0.228658,-0.25326,0.103251,-0.006402,0.063529,1871,East
-0.426032,0.527492,True,True,False,False,South,True,True,True,True,0.143492,0.304524,0.320317,-0.069762,0.162857,-0.074734,0.271619,0.070204,North,North,Stop,West,0.362251,0.669817,0.620493,0.549153,-0.112941,-2,South
-0.384365,-0.205841,False,True,True,True,East,True,True,True,True,0.060159,0.242024,0.320317,-0.132262,0.162857,-0.074734,0.271619,-0.001224,Stop,Stop,Stop,Stop,0.089524,0.24674,0.2067,0.326931,-0.112941,-14,East
-0.092698,-0.272508,True,True,True,True,South,False,False,True,True,-0.273175,-0.257976,-0.346349,-0.257262,-0.059365,-0.133557,0.221619,-0.21551,Stop,Stop,South,North,-0.228658,-0.25326,-0.172611,0.104709,-0.112941,374,South
-0.134365,-0.205841,True,True,True,True,East,False,True,True,True,-0.273175,-0.257976,0.236984,-0.007262,-0.059365,-0.074734,0.171619,-0.286939,Stop,North,North,East,-0.228658,-0.099414,-0.138128,0.188042,-0.112941,176,East
-0.009365,-0.339175,True,True,False,True,North,False,False,True,True,-0.273175,-0.257976,-0.346349,-0.257262,0.162857,-0.074734,0.271619,-0.001224,Stop,Stop,Stop,Stop,-0.228658,-0.25326,-0.03468,0.132487,-0.112941,363,North
-0.426032,0.060825,True,True,False,False,South,True,True,True,True,0.060159,0.242024,0.320317,-0.132262,0.162857,-0.074734,0.271619,-0.001224,Stop,Stop,Stop,Stop,0.044069,0.439048,0.379113,0.410265,-0.112941,-11,South
-0.259365,0.060825,False,True,True,True,North,False,True,True,True,-0.273175,-0.257976,0.320317,-0.132262,0.162857,-0.074734,0.271619,-0.001224,Stop,Stop,Stop,Stop,-0.228658,0.285201,0.241182,0.299153,-0.112941,177,South
